county,city,date,no2_units,no2_mean,no2_aqi,o3_units,o3_mean,o3_aqi,so2_units,so2_mean,so2_aqi,co_units,co_mean,co_aqi
Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,46,Parts per million,0.0225,34,Parts per billion,3,13,Parts per million,1.145833,
Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,46,Parts per million,0.0225,34,Parts per billion,3,13,Parts per million,0.878947,25
Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,46,Parts per million,0.0225,34,Parts per billion,2.975,,Parts per million,1.145833,
Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,46,Parts per million,0.0225,34,Parts per billion,2.975,,Parts per million,0.878947,25
Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,34,Parts per million,0.013375,27,Parts per billion,1.958333,4,Parts per million,0.85,
Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,34,Parts per million,0.013375,27,Parts per billion,1.958333,4,Parts per million,1.066667,26
Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,34,Parts per million,0.013375,27,Parts per billion,1.9375,,Parts per million,0.85,
Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,34,Parts per million,0.013375,27,Parts per billion,1.9375,,Parts per million,1.066667,26
Maricopa,Phoenix,1/3/2000,Parts per billion,38.125,48,Parts per million,0.007958,14,Parts per billion,5.25,16,Parts per million,1.929167,
Maricopa,Phoenix,1/3/2000,Parts per billion,38.125,48,Parts per million,0.007958,14,Parts per billion,5.25,16,Parts per million,1.7625,28
Maricopa,Phoenix,1/3/2000,Parts per billion,38.125,48,Parts per million,0.007958,14,Parts per billion,5.2,,Parts per million,1.929167,
Maricopa,Phoenix,1/3/2000,Parts per billion,38.125,48,Parts per million,0.007958,14,Parts per billion,5.2,,Parts per million,1.7625,28
Maricopa,Phoenix,1/4/2000,Parts per billion,40.26087,72,Parts per million,0.014167,28,Parts per billion,7.083333,23,Parts per million,1.991667,
Maricopa,Phoenix,1/4/2000,Parts per billion,40.26087,72,Parts per million,0.014167,28,Parts per billion,7.083333,23,Parts per million,1.829167,34
Maricopa,Phoenix,1/4/2000,Parts per billion,40.26087,72,Parts per million,0.014167,28,Parts per billion,7.05,,Parts per million,1.991667,
Maricopa,Phoenix,1/4/2000,Parts per billion,40.26087,72,Parts per million,0.014167,28,Parts per billion,7.05,,Parts per million,1.829167,34
Maricopa,Phoenix,1/5/2000,Parts per billion,48.45,58,Parts per million,0.006667,10,Parts per billion,8.708333,21,Parts per million,2.620833,
Maricopa,Phoenix,1/5/2000,Parts per billion,48.45,58,Parts per million,0.006667,10,Parts per billion,8.708333,21,Parts per million,2.7,42
Maricopa,Phoenix,1/5/2000,Parts per billion,48.45,58,Parts per million,0.006667,10,Parts per billion,8.7,,Parts per million,2.620833,
Maricopa,Phoenix,1/5/2000,Parts per billion,48.45,58,Parts per million,0.006667,10,Parts per billion,8.7,,Parts per million,2.7,42
Maricopa,Phoenix,1/6/2000,Parts per billion,39.95,71,Parts per million,0.01175,21,Parts per billion,6.761905,24,Parts per million,1.973913,
Maricopa,Phoenix,1/6/2000,Parts per billion,39.95,71,Parts per million,0.01175,21,Parts per billion,6.761905,24,Parts per million,2.308333,41
Maricopa,Phoenix,1/6/2000,Parts per billion,39.95,71,Parts per million,0.01175,21,Parts per billion,7.066667,,Parts per million,1.973913,
Maricopa,Phoenix,1/6/2000,Parts per billion,39.95,71,Parts per million,0.01175,21,Parts per billion,7.066667,,Parts per million,2.308333,41
Maricopa,Phoenix,1/7/2000,Parts per billion,29.625,41,Parts per million,0.011625,20,Parts per billion,8.666667,30,Parts per million,2.3625,
Maricopa,Phoenix,1/7/2000,Parts per billion,29.625,41,Parts per million,0.011625,20,Parts per billion,8.666667,30,Parts per million,1.829167,40
Maricopa,Phoenix,1/7/2000,Parts per billion,29.625,41,Parts per million,0.011625,20,Parts per billion,8.6375,,Parts per million,2.3625,
Maricopa,Phoenix,1/7/2000,Parts per billion,29.625,41,Parts per million,0.011625,20,Parts per billion,8.6375,,Parts per million,1.829167,40
Maricopa,Phoenix,1/8/2000,Parts per billion,29.666667,39,Parts per million,0.00975,17,Parts per billion,8.25,26,Parts per million,2.541667,
Maricopa,Phoenix,1/8/2000,Parts per billion,29.666667,39,Parts per million,0.00975,17,Parts per billion,8.25,26,Parts per million,2.7875,57
Maricopa,Phoenix,1/8/2000,Parts per billion,29.666667,39,Parts per million,0.00975,17,Parts per billion,8.2125,,Parts per million,2.541667,
Maricopa,Phoenix,1/8/2000,Parts per billion,29.666667,39,Parts per million,0.00975,17,Parts per billion,8.2125,,Parts per million,2.7875,57
Maricopa,Phoenix,1/9/2000,Parts per billion,25.083333,35,Parts per million,0.010792,19,Parts per billion,6.5,19,Parts per million,1.729167,
Maricopa,Phoenix,1/9/2000,Parts per billion,25.083333,35,Parts per million,0.010792,19,Parts per billion,6.5,19,Parts per million,1.675,32
Maricopa,Phoenix,1/9/2000,Parts per billion,25.083333,35,Parts per million,0.010792,19,Parts per billion,6.475,,Parts per million,1.729167,
Maricopa,Phoenix,1/9/2000,Parts per billion,25.083333,35,Parts per million,0.010792,19,Parts per billion,6.475,,Parts per million,1.675,32
Maricopa,Phoenix,1/10/2000,Parts per billion,37.666667,68,Parts per million,0.008458,13,Parts per billion,9.958333,30,Parts per million,2.341667,
Maricopa,Phoenix,1/10/2000,Parts per billion,37.666667,68,Parts per million,0.008458,13,Parts per billion,9.958333,30,Parts per million,2.179167,42
Maricopa,Phoenix,1/10/2000,Parts per billion,37.666667,68,Parts per million,0.008458,13,Parts per billion,9.925,,Parts per million,2.341667,
Maricopa,Phoenix,1/10/2000,Parts per billion,37.666667,68,Parts per million,0.008458,13,Parts per billion,9.925,,Parts per million,2.179167,42
Maricopa,Phoenix,1/11/2000,Parts per billion,50.5,80,Parts per million,0.008417,14,Parts per billion,11.625,34,Parts per million,2.604167,
Maricopa,Phoenix,1/11/2000,Parts per billion,50.5,80,Parts per million,0.008417,14,Parts per billion,11.625,34,Parts per million,2.533333,51
Maricopa,Phoenix,1/11/2000,Parts per billion,50.5,80,Parts per million,0.008417,14,Parts per billion,11.6,,Parts per million,2.604167,
Maricopa,Phoenix,1/11/2000,Parts per billion,50.5,80,Parts per million,0.008417,14,Parts per billion,11.6,,Parts per million,2.533333,51
Maricopa,Phoenix,1/12/2000,Parts per billion,49.125,80,Parts per million,0.008208,12,Parts per billion,10.916667,37,Parts per million,2.295833,
Maricopa,Phoenix,1/12/2000,Parts per billion,49.125,80,Parts per million,0.008208,12,Parts per billion,10.916667,37,Parts per million,2.316667,48
Maricopa,Phoenix,1/12/2000,Parts per billion,49.125,80,Parts per million,0.008208,12,Parts per billion,10.875,,Parts per million,2.295833,
Maricopa,Phoenix,1/12/2000,Parts per billion,49.125,80,Parts per million,0.008208,12,Parts per billion,10.875,,Parts per million,2.316667,48
Maricopa,Phoenix,1/13/2000,Parts per billion,73.285714,104,Parts per million,0.006167,8,Parts per billion,10.952381,30,Parts per million,3.136364,
Maricopa,Phoenix,1/13/2000,Parts per billion,73.285714,104,Parts per million,0.006167,8,Parts per billion,10.952381,30,Parts per million,2.958333,52
Maricopa,Phoenix,1/13/2000,Parts per billion,73.285714,104,Parts per million,0.006167,8,Parts per billion,11.766667,,Parts per million,3.136364,
Maricopa,Phoenix,1/13/2000,Parts per billion,73.285714,104,Parts per million,0.006167,8,Parts per billion,11.766667,,Parts per million,2.958333,52
Maricopa,Phoenix,1/14/2000,Parts per billion,66.541667,105,Parts per million,0.008708,15,Parts per billion,11.625,41,Parts per million,3.0125,
